x,y,z
0,1,0
0.0634239196565645,0.997986676471884,0.126592453573749
0.126592453573749,0.991954812830795,0.251147987181079
0.18925124436041,0.981928697262707,0.371662455660328
0.251147987181079,0.967948701396356,0.486196736100469
0.312033445698487,0.950071117740945,0.59290792905464
0.371662455660328,0.928367933016073,0.690079011482112
0.429794912089172,0.902926538286621,0.776146464291757
0.486196736100469,0.873849377069785,0.849725429949514
0.540640817455598,0.841253532831181,0.909631995354518
0.59290792905464,0.805270257531059,0.954902241444074
0.642787609686539,0.766044443118978,0.984807753012208
0.690079011482112,0.72373403810507,0.998867339183008
0.734591708657533,0.678509411557132,0.996854775951942
0.776146464291757,0.630552667084523,0.978802446214779
0.814575952050336,0.580056909571198,0.945000818714668
0.849725429949514,0.527225467610502,0.895993774291336
0.881453363447582,0.472271074772683,0.832569854634771
0.909631995354518,0.415415013001886,0.755749574354258
0.934147860265107,0.356886221591872,0.666769000516292
0.954902241444074,0.296920375328275,0.567059863862771
0.971811568323542,0.235758935509427,0.458226521727411
0.984807753012208,0.17364817766693,0.342020143325669
0.993838464461254,0.110838199901011,0.220310532786541
0.998867339183008,0.0475819158237422,0.0950560433041824
0.999874127673875,-0.015865963834808,-0.0317279334980679
0.996854775951942,-0.0792499568567886,-0.15800139597335
0.989821441880933,-0.142314838273285,-0.28173255684143
0.978802446214779,-0.204806668065191,-0.400930535406614
0.963842158559942,-0.266473813690035,-0.513677391573406
0.945000818714668,-0.327067963317422,-0.618158986220605
0.922354294104581,-0.386345125693129,-0.712694171378863
0.895993774291336,-0.444066612605774,-0.795761840530832
0.866025403784439,-0.5,-0.866025403784439
0.832569854634771,-0.55392006386611,-0.922354294104581
0.795761840530832,-0.605609687137667,-0.963842158559942
0.755749574354258,-0.654860733945285,-0.989821441880933
0.712694171378863,-0.701474887706321,-0.999874127673875
0.666769000516292,-0.745264449675755,-0.993838464461254
0.618158986220605,-0.786053094742788,-0.971811568323542
0.567059863862771,-0.823676581429833,-0.934147860265107
0.513677391573406,-0.857983413234977,-0.881453363447582
0.458226521727411,-0.888835448654923,-0.814575952050336
0.400930535406614,-0.91610845743207,-0.734591708657533
0.342020143325669,-0.939692620785908,-0.64278760968654
0.28173255684143,-0.959492973614497,-0.540640817455597
0.220310532786541,-0.975429786885407,-0.429794912089172
0.15800139597335,-0.987438888676394,-0.312033445698487
0.0950560433041824,-0.995471922573085,-0.18925124436041
0.0317279334980677,-0.999496542383185,-0.0634239196565645
-0.0317279334980679,-0.999496542383185,0.0634239196565649
-0.0950560433041826,-0.995471922573085,0.18925124436041
-0.15800139597335,-0.987438888676394,0.312033445698487
-0.220310532786541,-0.975429786885407,0.429794912089172
-0.28173255684143,-0.959492973614497,0.540640817455598
-0.342020143325669,-0.939692620785908,0.642787609686539
-0.400930535406614,-0.91610845743207,0.734591708657533
-0.45822652172741,-0.888835448654923,0.814575952050336
-0.513677391573406,-0.857983413234977,0.881453363447582
-0.567059863862771,-0.823676581429833,0.934147860265107
-0.618158986220605,-0.786053094742787,0.971811568323542
-0.666769000516292,-0.745264449675755,0.993838464461254
-0.712694171378863,-0.701474887706321,0.999874127673875
-0.755749574354258,-0.654860733945285,0.989821441880933
-0.795761840530832,-0.605609687137667,0.963842158559942
-0.832569854634771,-0.55392006386611,0.922354294104582
-0.866025403784439,-0.5,0.866025403784438
-0.895993774291336,-0.444066612605774,0.795761840530832
-0.922354294104581,-0.386345125693129,0.712694171378863
-0.945000818714668,-0.327067963317422,0.618158986220606
-0.963842158559942,-0.266473813690035,0.513677391573406
-0.978802446214779,-0.204806668065191,0.400930535406613
-0.989821441880933,-0.142314838273285,0.28173255684143
-0.996854775951942,-0.0792499568567888,0.158001395973351
-0.999874127673875,-0.0158659638348076,0.031727933498067
-0.998867339183008,0.0475819158237424,-0.0950560433041828
-0.993838464461254,0.110838199901011,-0.22031053278654
-0.984807753012208,0.17364817766693,-0.342020143325668
-0.971811568323542,0.235758935509427,-0.458226521727411
-0.954902241444074,0.296920375328275,-0.567059863862771
-0.934147860265107,0.356886221591872,-0.666769000516291
-0.909631995354518,0.415415013001887,-0.755749574354259
-0.881453363447582,0.472271074772683,-0.832569854634772
-0.849725429949514,0.527225467610502,-0.895993774291336
-0.814575952050336,0.580056909571198,-0.945000818714668
-0.776146464291757,0.630552667084523,-0.978802446214779
-0.734591708657533,0.678509411557132,-0.996854775951942
-0.690079011482112,0.72373403810507,-0.998867339183008
-0.64278760968654,0.766044443118978,-0.984807753012208
-0.59290792905464,0.805270257531059,-0.954902241444074
-0.540640817455597,0.841253532831181,-0.909631995354518
-0.486196736100469,0.873849377069785,-0.849725429949514
-0.429794912089172,0.902926538286621,-0.776146464291757
-0.371662455660327,0.928367933016073,-0.690079011482112
-0.312033445698487,0.950071117740945,-0.59290792905464
-0.251147987181079,0.967948701396356,-0.486196736100469
-0.18925124436041,0.981928697262707,-0.371662455660327
-0.126592453573749,0.991954812830795,-0.251147987181079
-0.0634239196565645,0.997986676471884,-0.126592453573749
-2.44929359829471e-16,1,-4.89858719658941e-16
