x,y
-9.80643578219831,-6.37976011187963
-8.93284627828485,-6.22882110087782
-9.31758392238027,-6.09676221807447
-10.2160523301822,-5.91380234676346
-10.065010224473,-5.74564391950715
-8.89486099812901,-5.44090901560646
-7.55920852492726,-5.11679122891002
-7.36750763788599,-4.95499459725708
-8.834139132124,-4.94037804793033
-8.86524337595163,-4.93713565487637
-8.26884505759194,-4.8756825357638
-7.72549923165971,-4.53092639752094
-5.85051591614002,-4.27563439017663
-5.86844928998512,-4.23303897541084
-6.754027702622,-4.17414868309126
-6.84970974562266,-4.11911534042991
-6.84564535140005,-4.10194685341328
-7.8375602259538,-4.05985881305211
-6.23452908478865,-4.05087895156668
-6.71240201961703,-4.04525742267409
-6.2193100791127,-4.02856130546267
-6.41819889899477,-3.93242746505627
-7.31234481206101,-3.89000781862917
-5.49197596832236,-3.85398227246593
-5.42711641872281,-3.82144799781499
-7.01757924117266,-3.75459731733741
-6.28532809217526,-3.72741638459381
-6.43685374932377,-3.72083013829355
-6.61001826289423,-3.69987779652579
-6.39755474801714,-3.69447994318716
-5.89115882197571,-3.49044526808632
-5.56071623102256,-3.40331544053398
-4.65875566446801,-3.34552100645237
-5.21962729484531,-3.33672819283363
-5.61841478828696,-3.18343293569276
-4.48653809817791,-3.15420433374257
-4.82598686908251,-3.09466737439751
-6.82051673490998,-3.05007058343965
-4.62068776268757,-3.04713378662234
-5.87213791668293,-3.03079106772711
-4.36566792312732,-2.94700842288852
-5.06123450928193,-2.94449216781012
-3.54831680613209,-2.83758124433715
-4.46364664317222,-2.79226467725144
-3.87460057179695,-2.754565286018
-4.92453937214107,-2.725079668036
-4.43393245895793,-2.72084208965913
-4.50584153504297,-2.71163485139974
-5.30445805163238,-2.69701654258544
-3.7527083268824,-2.67777437091268
-4.59947182116552,-2.65548774569775
-4.33425972041741,-2.63167665217693
-4.05264512209252,-2.62162016227484
-4.50013863988585,-2.61977274532704
-5.38042908572267,-2.61594711458054
-5.64690528471823,-2.52583585438886
-3.91037166247958,-2.50276296150735
-3.49331201755219,-2.46369385993826
-4.2307298660815,-2.44175283817462
-3.14710243599387,-2.42001480997208
-4.63259455899961,-2.38403299586766
-3.12542288716901,-2.30358819475286
-5.28224426339736,-2.22936803012433
-4.02493371461737,-2.20162089056433
-3.49096811569494,-2.18569838319092
-3.65070948922628,-2.17665126191921
-4.06936319663566,-2.14185110947355
-3.42397209134388,-2.10261190546207
-3.35283269879671,-2.0994203512042
-4.43858043003584,-2.03187772126908
-3.72502277801025,-2.00202894592304
-4.31380609613574,-1.9969434430283
-2.337020967376,-1.98647750720326
-3.47344919192047,-1.96625616834528
-4.00599309252138,-1.96154786942878
-4.20288372575961,-1.95840428946016
-3.9910301310246,-1.94025686068978
-3.48106190353188,-1.90497677284956
